Date,Temperature,Dew/Frost Point,Wet Bulb Temperature,Earth Skin Temperature,Min Temperature,Max Temperature,Specific Humidity,Relative Humidity,Precipitation,Day Peak,Evening Peak,Off Peak
01/01/2021,18.76,14.99,16.87,18.62,14.3,23.85,10.56,79.94,0,932,1039,752
01/02/2021,18.61,15.21,16.9,18.75,14.48,23.47,10.68,82,0,934,1014,742
01/03/2021,19.14,15,17.07,18.81,14.4,24.12,10.56,78.38,0,928,983,727
01/04/2021,19.66,15.2,17.44,19.13,15.23,25.02,10.74,76.38,0,935,981,718
01/05/2021,19.73,16.23,17.98,19.4,14.9,25.11,11.47,81.31,0,983,1010,729
01/06/2021,20.35,16.62,18.48,20.14,15.36,26.13,11.78,80.38,0,1026,1031,752
01/07/2021,21.22,17.51,19.37,21.1,16.79,26.52,12.45,80.5,0,1039,1023,779
01/08/2021,21.06,17.44,19.25,20.99,17.09,26.44,12.39,80.75,0,1019,1004,789
01/09/2021,20.19,16.15,18.17,20.26,16.34,24.9,11.41,78.88,0,975,1008,765
01/10/2021,20.52,16.45,18.48,20.56,16.55,24.44,11.66,78.25,0,961,1021,733
01/11/2021,21.2,17.87,19.54,21.39,17.59,25.4,12.76,81.81,0,1005,1040,732
01/12/2021,20.3,17.54,18.92,20.82,16.96,24.75,12.45,85,0,1043,1052,764
01/13/2021,18.26,14.72,16.49,19.04,14.36,23.36,10.38,81.44,0,1042,1052,782
01/14/2021,16.91,13.82,15.37,17.83,12.07,22.16,9.77,82.81,0,1012,1025,776
01/15/2021,17.12,12.9,15.01,17.29,13.12,21.71,9.22,77.88,0,974,986,778
01/16/2021,16.84,12.48,14.66,16.98,12.44,21.81,8.97,77.25,0,967,988,776
01/17/2021,16.81,13.74,15.28,17.09,12.4,22.15,9.7,83.19,0,997,1007,776
01/18/2021,17.52,14.46,15.99,17.98,12.4,23.05,10.19,82.75,0,1028,1019,788
01/19/2021,18.36,14.42,16.39,17.9,14.4,21.95,10.19,78.5,0,1032,1021,791
01/20/2021,18.65,15.7,17.17,19.11,14.3,22.63,11.11,83.75,0.01,1036,1002,772
01/21/2021,19.58,17.18,18.38,19.82,15.21,23.79,12.21,86.5,0.01,1025,964,762
01/22/2021,17.78,13.73,15.76,18.12,13.78,23.1,9.77,78.31,0,978,923,746
01/23/2021,17.17,11.62,14.4,17.32,12.49,21.72,8.48,72.12,0,938,926,715
01/24/2021,17.51,12.39,14.94,17.64,12.27,22.76,8.91,73.25,0,947,963,698
01/25/2021,17.14,13.08,15.11,17.77,12.12,23.15,9.34,79.25,0,972,977,710
01/26/2021,16.99,12.71,14.85,17.6,12.14,23.33,9.09,78,0,979,959,720
01/27/2021,16.28,12.03,14.15,17.08,10.94,22.56,8.73,78.31,0,966,948,716
01/28/2021,16.15,11.59,13.87,16.9,10.23,22.3,8.42,76.06,0,939,946,712
01/29/2021,17,11.54,14.26,17.06,11.14,22.82,8.42,72.62,0,910,929,704
01/30/2021,17.7,12.49,15.1,17.92,12.43,23.72,9.03,72.75,0,913,918,682
01/31/2021,16.43,10.76,13.6,16.9,12.38,22.25,8,71.75,0,927,905,656
02/01/2021,15.09,9.22,12.15,15.66,10.01,21.58,7.2,71,0,932,912,644
02/02/2021,15.37,10.42,12.89,15.98,9.26,22.64,7.81,75.31,0,949,945,656
02/03/2021,17.23,11.94,14.58,17.11,11.15,24.25,8.67,72.94,0,954,949,678
02/04/2021,19.01,12.73,15.87,18.57,13.07,25.26,9.09,68.81,0,907,927,685
02/05/2021,19.56,12.73,16.14,19.05,13.4,24.59,9.09,66.62,0,864,912,676
02/06/2021,19.45,12.49,15.97,19.15,13.28,24.98,9.03,65.56,0,886,932,683
02/07/2021,18.41,13.69,16.05,18.62,13.81,24.2,9.7,75.25,0,952,965,716
02/08/2021,18.37,13.19,15.78,18.71,13.06,24.87,9.4,73.69,0,1000,1007,754
