district,upazila,area_type,substation_id,feeder_id,transformer_age,transformer_capacity,outage_history,maintenance_due,population_density,industrial_load_ratio,demand_night,demand_morning,demand_afternoon,demand_evening,renewable_night,renewable_morning,renewable_afternoon,renewable_evening,transformer_load_night,transformer_load_morning,transformer_load_afternoon,transformer_load_evening
Chattogram,Anwara,Rural,SS_038,FDR_14,25,200,1,Yes,947,0.07,101,197,197,231,114,128,163,163,63,78,77,72
Chattogram,Banshkhali,Rural,SS_049,FDR_06,24,350,0,Yes,818,0.06,135,162,225,269,126,134,207,157,48,75,87,70
Chattogram,Boalkhali,Rural,SS_008,FDR_13,15,200,1,No,1787,0.19,105,174,186,245,122,158,183,171,41,73,74,87
Chattogram,Chandanaish,Rural,SS_025,FDR_09,16,350,9,Yes,1247,0.05,112,195,184,205,142,134,187,125,67,57,87,73
Chattogram,Fatikchhari,Rural,SS_025,FDR_09,16,400,3,Yes,1164,0.25,142,167,224,209,138,160,171,154,63,57,65,84
Chattogram,Hathazari,Rural,SS_042,FDR_15,6,250,3,Yes,1005,0.22,102,170,205,234,104,133,190,133,60,65,72,98
Chattogram,Karnaphuli,Urban,SS_004,FDR_04,22,250,4,Yes,17977,0.54,147,187,207,274,125,143,178,128,56,65,62,94
Chattogram,Lohagara,Rural,SS_008,FDR_18,24,300,1,Yes,1196,0.03,124,174,218,259,133,136,220,175,70,50,81,93
Chattogram,Mirsharai,Rural,SS_020,FDR_17,18,400,2,Yes,1265,0.23,129,150,226,233,132,168,172,152,69,53,87,90
Chattogram,Patiya,Rural,SS_004,FDR_08,22,400,8,No,675,0.22,100,188,200,262,101,127,196,176,66,75,69,77
Chattogram,Rangunia,Rural,SS_014,FDR_18,7,250,8,No,1317,0.3,149,158,188,260,135,130,183,153,67,69,73,100
Chattogram,Rauzan,Rural,SS_038,FDR_08,25,200,5,Yes,1792,0.02,128,183,208,215,115,134,158,141,40,68,77,77
Chattogram,Sandwip,Rural,SS_037,FDR_19,7,350,0,Yes,1468,0.24,121,154,212,230,117,162,212,133,57,54,83,99
Chattogram,Satkania,Rural,SS_042,FDR_04,11,200,1,No,1194,0.24,106,192,207,245,127,146,209,175,63,51,81,90
