district,upazila,area_type,substation_id,feeder_id,transformer_age,transformer_capacity,outage_history,maintenance_due,population_density,industrial_load_ratio,demand_night,demand_morning,demand_afternoon,demand_evening,renewable_night,renewable_morning,renewable_afternoon,renewable_evening,transformer_load_night,transformer_load_morning,transformer_load_afternoon,transformer_load_evening
Sylhet,Balaganj,Urban,SS_01,FDR_01,14,200,2,Yes,1063,0.17,207,219,238,252,161,181,205,183,62,60,76,92
Sylhet,Beanibazar,Rural,SS_02,FDR_02,10,250,0,Yes,1706,0.18,184,204,218,228,166,201,206,175,67,63,81,86
Sylhet,Bishwanath,Rural,SS_03,FDR_03,14,200,6,Yes,1440,0.28,201,220,240,251,178,192,204,172,62,69,72,82
Sylhet,Companiganj,Urban,SS_04,FDR_04,7,350,5,Yes,1428,0.32,176,197,210,225,182,184,238,210,60,67,75,89
Sylhet,Dakshin Surma,Rural,SS_05,FDR_05,13,300,5,Yes,1909,0.29,168,179,194,211,168,184,213,206,65,66,85,87
Sylhet,Fenchuganj,Rural,SS_06,FDR_06,7,250,8,No,785,0.17,182,204,219,231,164,212,231,175,56,63,74,80
Sylhet,Golapganj,Rural,SS_07,FDR_07,4,400,7,No,1288,0.22,210,220,240,243,181,214,217,191,58,69,83,80
Sylhet,Gowainghat,Rural,SS_08,FDR_08,14,200,8,Yes,1973,0.18,201,214,234,243,186,220,232,208,61,64,81,80
Sylhet,Jaintiapur,Urban,SS_09,FDR_09,8,400,5,No,1500,0.09,169,180,193,202,162,211,204,204,59,64,85,92
Sylhet,Kanaighat,Urban,SS_10,FDR_10,11,300,3,Yes,1742,0.24,167,189,209,220,174,213,228,177,62,67,72,85
Sylhet,Osmaninagar,Urban,SS_11,FDR_11,11,400,0,Yes,971,0.3,140,157,168,178,187,201,204,202,62,68,85,81
Sylhet,Sylhet Sadar,Urban,SS_12,FDR_12,12,400,7,No,1468,0.17,161,174,185,207,171,207,226,199,56,63,71,87
Sylhet,Zakiganj,Rural,SS_13,FDR_13,6,200,7,Yes,892,0.15,189,204,218,238,167,184,228,205,58,61,70,77
Habiganj,Ajmiriganj,Urban,SS_14,FDR_14,9,250,6,Yes,1494,0.26,149,171,181,203,168,209,218,197,70,64,76,84
Habiganj,Bahubal,Urban,SS_15,FDR_15,12,200,5,Yes,1610,0.1,131,156,174,181,161,212,205,181,57,62,77,87
Habiganj,Baniachong,Urban,SS_16,FDR_16,6,400,1,No,1685,0.3,196,216,230,242,181,200,215,186,67,64,79,89
Habiganj,Chunarughat,Rural,SS_17,FDR_17,3,200,1,Yes,1438,0.31,202,218,236,246,164,202,204,185,66,69,75,89
Habiganj,Habiganj Sadar,Rural,SS_18,FDR_18,15,400,8,No,1839,0.28,149,163,177,186,188,186,235,179,63,69,76,85
Habiganj,Lakhai,Urban,SS_19,FDR_19,11,300,0,Yes,1500,0.17,186,204,214,224,170,188,240,186,60,74,83,92
Habiganj,Madhabpur,Urban,SS_20,FDR_20,4,200,8,Yes,1915,0.41,183,197,213,221,161,199,223,172,66,66,77,78
Habiganj,Nabiganj,Rural,SS_21,FDR_21,9,400,3,Yes,1771,0.36,149,172,182,197,183,201,226,185,63,65,73,87
Habiganj,Shayestaganj,Urban,SS_22,FDR_22,6,350,7,No,908,0.38,172,189,202,209,181,192,225,191,63,62,78,86
Moulvibazar,Barlekha,Rural,SS_23,FDR_23,8,400,4,Yes,556,0.12,172,183,194,216,171,200,227,208,58,72,76,83
Moulvibazar,Juri,Urban,SS_24,FDR_24,3,350,8,Yes,1564,0.42,173,196,207,226,179,200,207,189,64,73,80,87
Moulvibazar,Kamalganj,Rural,SS_25,FDR_25,5,400,6,Yes,892,0.24,166,188,206,208,169,198,213,197,65,74,84,89
Moulvibazar,Kulaura,Urban,SS_26,FDR_26,10,400,4,No,847,0.32,144,161,181,190,167,192,209,171,56,67,85,77
Moulvibazar,Moulvibazar Sadar,Rural,SS_27,FDR_27,13,350,6,No,1678,0.15,184,201,213,221,188,186,227,184,60,74,71,92
Moulvibazar,Rajnagar,Urban,SS_28,FDR_28,10,200,8,No,773,0.38,183,206,224,240,188,190,230,198,63,67,78,91
Moulvibazar,Sreemangal,Rural,SS_29,FDR_29,7,250,4,Yes,1400,0.11,164,184,199,206,164,189,214,194,59,66,72,88
Sunamganj,Bishwamvarpur,Rural,SS_30,FDR_30,11,300,3,No,1454,0.23,189,199,218,231,175,180,222,189,67,73,77,90
Sunamganj,Chhatak,Urban,SS_31,FDR_31,9,300,5,No,1494,0.09,147,171,183,191,189,205,237,206,55,62,83,79
Sunamganj,Dakshin Sunamganj,Rural,SS_32,FDR_32,3,250,3,No,1032,0.22,171,191,207,219,184,206,216,175,70,60,71,86
Sunamganj,Derai,Urban,SS_33,FDR_33,15,200,0,Yes,1834,0.09,165,175,194,199,167,188,230,177,61,74,78,86
Sunamganj,Dharamapasha,Urban,SS_34,FDR_34,12,400,2,No,1971,0.12,153,163,177,195,172,192,204,207,62,63,79,78
Sunamganj,Dowarabazar,Urban,SS_35,FDR_35,11,300,1,No,1377,0.32,128,151,168,174,173,203,240,199,59,73,75,91
Sunamganj,Jagannathpur,Rural,SS_36,FDR_36,15,400,7,No,1602,0.37,164,184,197,206,168,208,215,199,67,70,70,90
Sunamganj,Jamalganj,Rural,SS_37,FDR_37,10,250,4,No,934,0.21,167,185,203,205,176,192,205,185,68,75,77,90
Sunamganj,Sulla,Rural,SS_38,FDR_38,15,350,3,No,535,0.11,162,181,201,212,175,215,233,192,68,70,81,89
Sunamganj,Sunamganj Sadar,Rural,SS_39,FDR_39,7,300,3,No,972,0.12,150,165,178,191,183,210,217,207,64,63,76,84
Chattogram,Anwara,Rural,SS_038,FDR_14,25,200,1,Yes,947,0.07,101,197,197,231,114,128,163,163,63,78,77,72
Chattogram,Banshkhali,Rural,SS_049,FDR_06,24,350,0,Yes,818,0.06,135,162,225,269,126,134,207,157,48,75,87,70
Chattogram,Boalkhali,Rural,SS_008,FDR_13,15,200,1,No,1787,0.19,105,174,186,245,122,158,183,171,41,73,74,87
Chattogram,Chandanaish,Rural,SS_025,FDR_09,16,350,9,Yes,1247,0.05,112,195,184,205,142,134,187,125,67,57,87,73
Chattogram,Fatikchhari,Rural,SS_025,FDR_09,16,400,3,Yes,1164,0.25,142,167,224,209,138,160,171,154,63,57,65,84
Chattogram,Hathazari,Rural,SS_042,FDR_15,6,250,3,Yes,1005,0.22,102,170,205,234,104,133,190,133,60,65,72,98
Chattogram,Karnaphuli,Urban,SS_004,FDR_04,22,250,4,Yes,17977,0.54,147,187,207,274,125,143,178,128,56,65,62,94
Chattogram,Lohagara,Rural,SS_008,FDR_18,24,300,1,Yes,1196,0.03,124,174,218,259,133,136,220,175,70,50,81,93
Chattogram,Mirsharai,Rural,SS_020,FDR_17,18,400,2,Yes,1265,0.23,129,150,226,233,132,168,172,152,69,53,87,90
Chattogram,Patiya,Rural,SS_004,FDR_08,22,400,8,No,675,0.22,100,188,200,262,101,127,196,176,66,75,69,77
Chattogram,Rangunia,Rural,SS_014,FDR_18,7,250,8,No,1317,0.3,149,158,188,260,135,130,183,153,67,69,73,100
Chattogram,Rauzan,Rural,SS_038,FDR_08,25,200,5,Yes,1792,0.02,128,183,208,215,115,134,158,141,40,68,77,77
Chattogram,Sandwip,Rural,SS_037,FDR_19,7,350,0,Yes,1468,0.24,121,154,212,230,117,162,212,133,57,54,83,99
Chattogram,Satkania,Rural,SS_042,FDR_04,11,200,1,No,1194,0.24,106,192,207,245,127,146,209,175,63,51,81,90
Chattogram,Sitakunda,Rural,SS_005,FDR_15,8,400,3,Yes,1835,0.3,112,162,214,257,108,147,173,137,54,57,87,99
