,temperature,humidity,rainfall,wind_speed,electricity_demand,renewable_generation,transformer_load,risk_score,transformer_age,transformer_capacity,outage_history,population_density,industrial_load_ratio
temperature,1.0,-0.4347797184482122,-0.036841755356732814,0.05413808183749836,0.040089575781966945,0.2938604304996983,0.03656134437018223,0.06616818737928445,-0.009698966725142331,-0.004532690539165275,-0.002740112793199106,0.01088239227919647,0.017688115524123936
humidity,-0.4347797184482122,1.0,0.19429129770321912,0.026130637561544417,0.01537809180151604,-0.062145353953984316,0.016762943515444544,0.016194098717954325,0.006187232384766544,0.00221231612793261,0.005229327875576219,-0.0018366702231404552,-0.0018060202550573932
rainfall,-0.036841755356732814,0.19429129770321912,1.0,0.07872530176364782,-0.0026069890174616928,0.2061866627290253,-0.0058146601588340485,0.05587033317001167,0.0007717349999886823,-0.0020643201823613787,0.005056624741736319,0.009853143753447065,0.014642210126973353
wind_speed,0.05413808183749836,0.026130637561544417,0.07872530176364782,1.0,0.032367163633652794,-0.3925854708595164,0.03605171195765316,0.04426738507264191,0.01927171360562841,0.02506115786221553,0.011612289353632713,-0.012919763419900258,-0.022239955103077365
electricity_demand,0.040089575781966945,0.01537809180151604,-0.0026069890174616928,0.032367163633652794,1.0,0.33525598531401934,0.9998866384802519,0.9346786135752636,-0.03740225397373519,0.03576812373824596,-0.1368224433405571,0.841853331608426,0.6340444959781498
renewable_generation,0.2938604304996983,-0.062145353953984316,0.2061866627290253,-0.3925854708595164,0.33525598531401934,1.0,0.3258907316951499,0.3020935070613208,-0.05837101737040917,-0.0025815624765882002,-0.044496436578591106,0.346365875973292,0.28601944607583896
transformer_load,0.03656134437018223,0.016762943515444544,-0.0058146601588340485,0.03605171195765316,0.9998866384802519,0.3258907316951499,1.0,0.9343635416368428,-0.03702039651053368,0.035908618938634666,-0.13687636196045996,0.8413058915935179,0.6334026915236954
risk_score,0.06616818737928445,0.016194098717954325,0.05587033317001167,0.04426738507264191,0.9346786135752636,0.3020935070613208,0.9343635416368428,1.0,0.13359364233242765,-0.07744453792324671,-0.1011365493637026,0.781891903997017,0.5620322268609904
transformer_age,-0.009698966725142331,0.006187232384766544,0.0007717349999886823,0.01927171360562841,-0.03740225397373519,-0.05837101737040917,-0.03702039651053368,0.13359364233242765,1.0,0.018205182604892362,-0.04013050067113028,-0.03419710450942311,-0.07960829366616502
transformer_capacity,-0.004532690539165275,0.00221231612793261,-0.0020643201823613787,0.02506115786221553,0.03576812373824596,-0.0025815624765882002,0.035908618938634666,-0.07744453792324671,0.018205182604892362,1.0,-0.003840674280127289,0.032164518552908,0.09028481387948281
outage_history,-0.002740112793199106,0.005229327875576219,0.005056624741736319,0.011612289353632713,-0.1368224433405571,-0.044496436578591106,-0.13687636196045996,-0.1011365493637026,-0.04013050067113028,-0.003840674280127289,1.0,-0.11828511395915052,-0.1357301131100915
population_density,0.01088239227919647,-0.0018366702231404552,0.009853143753447065,-0.012919763419900258,0.841853331608426,0.346365875973292,0.8413058915935179,0.781891903997017,-0.03419710450942311,0.032164518552908,-0.11828511395915052,1.0,0.7537221111403347
industrial_load_ratio,0.017688115524123936,-0.0018060202550573932,0.014642210126973353,-0.022239955103077365,0.6340444959781498,0.28601944607583896,0.6334026915236954,0.5620322268609904,-0.07960829366616502,0.09028481387948281,-0.1357301131100915,0.7537221111403347,1.0
