district,Record_Count,Unique_Upazilas,Mean_Risk_Score,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count
Bandarban,3383,7,58.067348507242095,480,0,2903
Brahmanbaria,4410,9,48.759151927437635,460,110,3840
Chandpur,3879,8,48.76561227120392,472,56,3351
Chattogram,8199,14,52.22119404805464,459,494,7246
Cox's Bazar,4396,9,56.700450409463144,486,563,3347
Cumilla,8067,17,56.77267509607041,951,3,7113
Feni,2801,6,46.11144948232774,348,160,2293
Habiganj,3733,9,46.456244307527456,1003,1821,909
Khagrachhari,4314,9,50.25391052387575,458,79,3777
Lakshmipur,2387,5,67.18984080435693,467,0,1920
Moulvibazar,3672,7,46.57614923747276,971,1835,866
Noakhali,4358,9,45.35115419917393,416,402,3540
Rangamati,4789,10,56.261330131551475,459,30,4300
Sunamganj,3808,12,46.60634978991597,1034,1881,893
Sylhet,3787,13,46.458104040137314,984,1890,913
