,count,mean,std,min,25%,50%,75%,max
temperature,65983.0,26.087908855311213,4.851609466976065,8.5,23.8,26.6,29.31,41.4
humidity,65983.0,76.89732628101179,15.993807740692404,14.0,68.0,79.0,90.0,100.0
rainfall,65983.0,0.44358440810511796,2.1501476312199412,0.0,0.0,0.0,0.0,38.3
wind_speed,65983.0,7.873860691390207,4.712036467847789,0.0,4.4,6.9,10.0,47.2
electricity_demand,65983.0,210.0652154342785,303.5311637424002,27.94,87.55,130.09,178.495,2108.18
renewable_generation,65983.0,62.33235393965112,81.48527349000587,2.79,8.754999999999999,13.01,141.635,264.93
transformer_load,65983.0,83.45445993665035,121.43683709727863,11.18,35.02,52.04,70.375,843.27
risk_score,65983.0,51.639173120349184,42.58662803482614,0.0,32.01,39.86,53.61,364.57
transformer_age,65983.0,15.477835199975752,5.9344771518224055,5.0,10.0,16.0,20.0,25.0
transformer_capacity,65983.0,303.2356819180698,73.46936502021207,200.0,250.0,300.0,350.0,400.0
outage_history,65983.0,4.9958625706621405,3.02749234480916,0.0,2.0,5.0,8.0,10.0
population_density,65983.0,2663.4813057908855,4093.4368090126527,500.0,962.0,1332.0,1783.0,19991.0
industrial_load_ratio,65983.0,0.18786808723459072,0.14470539128069165,0.0,0.07,0.17,0.25,0.6
