month,High,Low,Medium,Mean_Temperature,Mean_Demand,Mean_Risk_Score
1,492,4590,122,19.04162182936203,173.53945042275174,46.96566295157571
2,509,4064,118,20.977296951609464,188.66239607759542,49.05237262843743
3,571,4488,148,25.914384482427504,215.9683848665258,52.79426541194545
4,3006,6407,4649,28.650216896600767,205.56106314891196,50.130566775707585
5,2135,5773,3242,28.41944753363229,206.90368968609866,50.64191569506726
6,516,4303,205,27.653065286624205,225.72514331210192,54.42359275477707
7,370,2986,130,27.88947217441193,219.97396442914516,53.8054991394148
8,390,2892,177,27.735588320323792,246.2708239375542,57.04793581960104
9,384,2804,190,27.486856127886323,250.53476909413854,57.75841622261693
10,392,2907,172,27.02353788533564,245.35344569288392,56.91518870642466
11,346,2941,84,23.655117175912192,202.64077721744292,51.069320676357165
12,337,3056,87,20.312988505747125,177.2246724137931,47.46158045977011
