hour,High,Low,Medium,Total_Demand_Mean,Mean_Risk_Score
0,695,4116,732,179.07504600396896,47.08325816344939
2,754,4088,687,185.39928558509678,48.17664134563213
4,802,3998,723,194.39741806988954,49.5808618504436
6,734,4000,774,188.8285639070443,48.730265068990555
8,799,3824,854,225.88251049844806,54.0291820339602
10,824,3834,841,224.17953627932351,53.809547190398256
12,851,3810,809,226.9661297989031,54.13894698354662
14,774,3925,761,206.41043223443222,51.63632051282051
16,816,3912,765,215.28080648097577,52.3426087748043
18,829,3885,783,225.30140258322723,53.76164271420775
20,785,3896,794,222.74095525114154,52.834527853881276
22,785,3923,801,226.96847522236342,53.64120348520603
