upazila,count
Chandanaish,1966
Companiganj,865
Kamalganj,549
Bancharampur,548
Juri,542
Naniarchar,539
Sreemangal,534
Subarnachar,526
Ukhia,524
Rajnagar,520
Eidgaon,518
Moulvibazar Sadar,517
Rauzan,514
Mirsharai,513
Raipur,513
Chakaria,510
Bijoynagar,508
Barlekha,507
Titas,506
Naikhongchhari,505
Kulaura,503
Langadu,502
Nasirnagar,500
Manikchhari,500
Shahrasti,500
Satkania,497
Senbagh,496
Belaichhari,495
Thanchi,495
Maheshkhali,495
Nangalkot,494
Mahalchhari,494
Akhaura,493
Chatkhil,493
Brahmanpara,492
Ashuganj,492
Begumganj,492
Barura,491
Dighinala,490
Matlab South,489
Chandpur Sadar,489
Haijganj,489
Sitakunda,488
Sonaimuri,488
Nabiganj,488
Kutubdia,487
Kachua,487
Burichang,487
Ramgarh,486
Cumilla Sadar Dakshin,486
Daudkandi,486
Kawkhali,486
Cox's Bazar Sadar,486
Noakhali Sadar,484
Lama,484
Brahmanbaria Sadar,483
Haziganj,482
Monohorganj,482
Panchhari,482
Patiya,482
Haimchar,481
Ramgati,481
Banshkhali,480
Ramganj,480
Bandarban Sadar,480
Rowangchhari,479
Ramu,479
Rangunia,478
Homna,477
Lohagara,477
Bahubal,477
Laksam,476
Ali Kadam,476
Hathazari,476
Barkal,475
Fulgazi,474
Boalkhali,474
Juraichhari,474
Bagaichhari,473
Chhagalnaiya,473
Matiranga,471
Parshuram,471
Debidwar,470
Sarail,469
Anwara,467
Guimara,467
Lakshmipur Sadar,467
Daganbhuiyan,467
Hatiya,466
Feni Sadar,466
Lakshmichhari,466
Cumilla Sadar Adarsha,465
Lalmai,465
Teknaf,464
Ruma,464
Chauddagram,462
Matlab North,462
Nabinagar,461
Kabirhat,460
Rangamati Sadar,459
Karnaphuli,459
Khagrachhari Sadar,458
Rajasthali,457
Kasba,456
Chandina,456
Sonagazi,450
Kamalnagar,446
Meghna,439
Pekua,433
Muradnagar,433
Kaptai,429
Sandwip,428
Madhabpur,424
Habiganj Sadar,423
Chunarughat,421
Ajmiriganj,401
Jamalganj,386
Lakhai,383
Shaistaganj,369
Sunamganj Sadar,364
Shantiganj,361
Dowarabazar,360
Baniachang,347
Tahirpur,346
Bishwanath,341
Dakshin Surma,328
Fenchuganj,325
Derai,307
Jaintiapur,304
Dharmapasha,304
Dakshin Sunamganj,291
Sylhet Sadar,284
Chhatak,283
Jagannathpur,283
Golapganj,282
Bishwamvarpur,280
Balaganj,270
Kanaighat,261
Osmani Nagar,260
Beanibazar,259
Gowainghat,251
Sullah,243
Zakiganj,210
