Model Name,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,ROC-AUC (Macro),ROC-AUC (Weighted),PR-AUC (Macro),PR-AUC (Weighted)
Random Forest,0.8738406302981949,0.7933465718572593,0.906118670405364,0.7997415939697836,0.8738406302981949,0.7787373013763212,0.8833515651276519,0.9399770492494707,0.9501490796687548,0.7851978271234236,0.9129990831994781
TimesNet,0.8703500548518999,0.7927341421054729,0.910747273653014,0.806464194747102,0.8703500548518999,0.7768375848506176,0.8819298586059277,0.9386395809785771,0.9496695590802984,0.7805901621406796,0.9108878705352991
Informer,0.8741398224793059,0.7852448664545202,0.9076583014182691,0.8026342588420016,0.8741398224793059,0.7767523963470951,0.8844096548912358,0.9373693778269013,0.949346606878786,0.7764457832755164,0.909866434596598
GRU,0.8769322828363418,0.7900091632106333,0.900139936090475,0.7857044830398087,0.8769322828363418,0.7752961512879238,0.8839385407709279,0.9255361681172504,0.9360429922047634,0.7751778983703846,0.9041597137551408
CNN-LSTM,0.8716465543033809,0.7908692279017093,0.9044901130169594,0.7946575300394011,0.8716465543033809,0.7745057008263152,0.8812774486723325,0.9295965657390949,0.9412925744173298,0.7684116364116599,0.9043371852380842
LSTM,0.8684551710381969,0.7881138548030485,0.9009204796890562,0.7909570287217155,0.8684551710381969,0.7719811869046529,0.87815771303605,0.9206778689016071,0.9322997903706197,0.7688790807033854,0.900948680313358
Logistic Regression,0.8658621721352349,0.7830076931352532,0.9056681837777211,0.7987460119741318,0.8658621721352349,0.7705093851181871,0.8779938347125888,0.9370196632554088,0.949055914317953,0.7716998528129843,0.9086521986902238
Decision Tree,0.8629699810511618,0.7865887897829812,0.9058703228891608,0.7973972950345144,0.8629699810511618,0.768823724313596,0.8756017227038423,0.9138776422861691,0.9264501180014206,0.7416078513173171,0.8863578695276976
PatchTST,0.8568864067019049,0.7877158285414226,0.9092306918654938,0.804928966002135,0.8568864067019049,0.7683187695991501,0.872152043366954,0.9338046318730844,0.943563058911468,0.7836364885964615,0.9088356954099656
Autoformer,0.8554901765233869,0.779982658613705,0.9041813006074231,0.7974266433168161,0.8554901765233869,0.7636126389430138,0.8700878428846188,0.9270550400688142,0.9394576669993906,0.7606652947726663,0.900205337166111
XGBoost,0.8758352448389348,0.7778091235752354,0.8837320768652626,0.7560445544996733,0.8758352448389348,0.762323899661216,0.8780736852943083,0.9358798231314195,0.9452237993926036,0.7821402876981892,0.9103459161883956
TFT,0.8438216814600579,0.7689993370168416,0.897849641694425,0.7877495431847789,0.8438216814600579,0.7525277921358354,0.8605873281851703,0.9206834456739901,0.9350147820378503,0.7503125176453139,0.8957671478836208
