Model Name,Risk Class,Precision,Recall,F1-Score,Support
Decision Tree,Low Risk (0),0.9390115667718192,0.6858678955453149,0.7927208166888593,1302
Decision Tree,Medium Risk (1),0.9663475077442973,0.9018396846254928,0.9329798803697662,7610
Decision Tree,High Risk (2),0.45440729483282677,0.8044843049327354,0.5807704758821625,1115
Logistic Regression,Low Risk (0),0.9219066937119675,0.6981566820276498,0.7945804195804196,1302
Logistic Regression,Medium Risk (1),0.9683722237840877,0.9052562417871222,0.9357511545775604,7610
Logistic Regression,High Risk (2),0.4587441619097042,0.7928251121076233,0.5811965811965812,1115
Random Forest,Low Risk (0),0.9331963001027749,0.6973886328725039,0.7982417582417582,1302
Random Forest,Medium Risk (1),0.9634180011043623,0.9170827858081472,0.939679547596607,7610
Random Forest,High Risk (2),0.48342541436464087,0.7847533632286996,0.5982905982905983,1115
XGBoost,Low Risk (0),0.880838894184938,0.7096774193548387,0.7860484900042535,1302
XGBoost,Medium Risk (1),0.9383669196545407,0.9423127463863338,0.9403356936795174,7610
XGBoost,High Risk (2),0.5142215568862275,0.6161434977578475,0.5605875152998776,1115
LSTM,Low Risk (0),0.9328512396694215,0.6935483870967742,0.7955947136563877,1302
LSTM,Medium Risk (1),0.9580978635423846,0.9134034165571616,0.9352169525731584,7610
LSTM,High Risk (2),0.47339246119733924,0.7659192825112108,0.5851318944844125,1115
GRU,Low Risk (0),0.9191919191919192,0.6989247311827957,0.794066317626527,1302
GRU,Medium Risk (1),0.9563100229947248,0.9290407358738502,0.9424781710324601,7610
GRU,High Risk (2),0.49452554744525545,0.7291479820627803,0.5893439652047844,1115
CNN-LSTM,Low Risk (0),0.9324324324324325,0.6889400921658986,0.7924028268551236,1302
CNN-LSTM,Medium Risk (1),0.9622016829907574,0.9165571616294349,0.9388249545729861,7610
CNN-LSTM,High Risk (2),0.4779735682819383,0.7784753363228699,0.5922893210508359,1115
Autoformer,Low Risk (0),0.9335410176531672,0.6904761904761905,0.7938189845474614,1302
Autoformer,Medium Risk (1),0.9672997286877053,0.8901445466491459,0.9271196879490864,7610
Autoformer,High Risk (2),0.4391072295002426,0.8116591928251121,0.5698992443324937,1115
Informer,Low Risk (0),0.905940594059406,0.7027649769585254,0.7915224913494809,1302
Informer,Medium Risk (1),0.9707520891364902,0.9159001314060446,0.9425287356321839,7610
Informer,High Risk (2),0.47904191616766467,0.7892376681614349,0.5962059620596206,1115
PatchTST,Low Risk (0),0.9523305084745762,0.6904761904761905,0.8005342831700801,1302
PatchTST,Medium Risk (1),0.9705713465403388,0.8884362680683311,0.9276893523600439,7610
PatchTST,High Risk (2),0.44024563060935284,0.8358744394618834,0.5767326732673267,1115
TFT,Low Risk (0),0.9281314168377823,0.6943164362519201,0.7943760984182777,1302
TFT,Medium Risk (1),0.9633371824480369,0.8770039421813404,0.918145549594167,7610
TFT,High Risk (2),0.41552941176470587,0.7919282511210762,0.5450617283950617,1115
TimesNet,Low Risk (0),0.9361256544502617,0.6866359447004609,0.7922020381036774,1302
TimesNet,Medium Risk (1),0.9707947205841055,0.9085413929040735,0.9386369807222373,7610
TimesNet,High Risk (2),0.4712820512820513,0.8242152466367713,0.599673735725938,1115
