Feature,Random Forest,XGBoost,Decision Tree,Mean Tree Importance
renewable_generation,0.22363197957795178,0.28557956,0.45668027931565924,0.3219639403602686
load_utilization,0.12822391159899607,0.16620794,0.27327469890814804,0.18923551663117064
demand_utilization,0.14236358380641134,0.07527019,0.10957134602312225,0.10906837355484422
transformer_age,0.039118767615502606,0.093503274,0.04720453256608275,0.05994219140170607
transformer_load,0.11678659974715758,0.01246677,0.0004586020651546882,0.043237323825930644
electricity_demand,0.11183251849974299,0.013804944,0.0023990832687832138,0.04267884866687747
renewable_ratio,0.06455145394243356,0.04276991,0.002310556536844856,0.03654397312810257
transformer_capacity,0.017004343082507232,0.08894375,0.0,0.03531603091624041
industrial_load_ratio,0.028587736030428794,0.029438134,0.04413706595279368,0.034054312088683286
population_density,0.03672118248571126,0.021257896,0.03339771334773466,0.03045893060325031
upazila,0.013889990780195859,0.018008878,0.004588314306371736,0.012162394513711199
feeder_id,0.022999102044724787,0.004160223,0.0,0.009053108369268764
district,0.006717994794788128,0.019006649,0.0,0.008574881275674425
substation_id,0.006778839004747448,0.003429732,0.014064531564584658,0.00809103420731381
outage_history,0.007190837337792387,0.015682887,0.0005932991633118616,0.007822341262350683
thi,0.0043787181878651125,0.0106411725,0.004145366476810188,0.00638841906431407
temperature,0.00465453389921435,0.011579475,0.0028471647744230458,0.006360391346405508
wind_speed,0.006142693404236192,0.008815793,0.0009941506607228205,0.005317545795165208
area_type,0.0075521877758536506,0.007893607,0.0,0.0051485982654105875
wind_temp_interaction,0.0038086348926045822,0.009867499,0.0012760305837557797,0.004984054709169084
maintenance_due,0.000570190550789226,0.012667747,0.0,0.0044126459217419195
humidity,0.002634212992108879,0.009726245,0.0007286673696807117,0.004363041772681517
hour,0.0013696005366663241,0.010168558,0.0,0.003846052841094471
weather_state,0.000553306878104341,0.009741677,0.0011112225256844186,0.003802068791701699
rainfall,0.0006550842944280052,0.010444618,0.0,0.003699900708214963
weekday,0.0008954119768221124,0.008922862,0.00021737459033140257,0.0033452161520527404
is_weekend,0.00020848115806935974,0.0,0.0,6.949371935645325e-05
is_peak_hour,0.00017810310414590797,0.0,0.0,5.9367701381969325e-05
