Season,Model,Sample Count,High Risk Count,Accuracy,Macro F1,Macro Recall,High Risk Recall
Summer (Mar-May),Informer,6570,961,0.8517503805175038,0.7653061120118654,0.7890938207249203,0.6170655567117586
Summer (Mar-May),Random Forest,6570,961,0.8484018264840183,0.7628427608101944,0.7796911631291978,0.6118626430801248
Summer (Mar-May),XGBoost,6570,961,0.8430745814307458,0.7406773667288588,0.7334532994710798,0.6285119667013528
Summer (Mar-May),GRU,6570,961,0.8480974124809741,0.7575521600285633,0.767711994690582,0.6170655567117586
Summer (Mar-May),TimesNet,6570,961,0.8467275494672755,0.7627166560700037,0.7884691111523168,0.6024973985431842
Monsoon (Jun-Sep),Informer,1665,184,0.9111111111111111,0.8033047019629498,0.7943375935616398,0.9130434782608695
Monsoon (Jun-Sep),Random Forest,1665,184,0.9171171171171171,0.8177783165723662,0.8095170156003823,0.9130434782608695
Monsoon (Jun-Sep),XGBoost,1665,184,0.9171171171171171,0.8135778421817793,0.8010557757005904,0.9130434782608695
Monsoon (Jun-Sep),GRU,1665,184,0.9153153153153153,0.8116201959927295,0.8024248170188221,0.9130434782608695
Monsoon (Jun-Sep),TimesNet,1665,184,0.9069069069069069,0.8049356885459585,0.8074034698539373,0.9130434782608695
Winter (Nov-Feb),Informer,1792,157,0.921875,0.7266404199475066,0.8043184039362382,0.9808917197452229
Winter (Nov-Feb),Random Forest,1792,157,0.9268973214285714,0.7614160687364983,0.8611832305462879,0.9681528662420382
Winter (Nov-Feb),XGBoost,1792,157,0.9575892857142857,0.7562371512922338,0.7659451353081926,0.9681528662420382
Winter (Nov-Feb),GRU,1792,157,0.9469866071428571,0.757612330333575,0.788252957233849,0.9490445859872612
Winter (Nov-Feb),TimesNet,1792,157,0.9229910714285714,0.7578605711357381,0.8608320695581843,0.9363057324840764
