Condition,Model,Sample Count,High Risk Count,Accuracy,Macro F1,Macro Recall,High Risk Recall
Peak Hours (18-22h),Informer,2463,304,0.8729192042224929,0.7773165748507812,0.8030884929366117,0.7171052631578947
Peak Hours (18-22h),Random Forest,2463,304,0.8721071863580999,0.7805048749868374,0.8008265005430403,0.7138157894736842
Peak Hours (18-22h),XGBoost,2463,304,0.8708891595615104,0.7626972235125756,0.7603771958645228,0.7335526315789473
Peak Hours (18-22h),GRU,2463,304,0.8729192042224929,0.7769082537543114,0.7922256238249438,0.7171052631578947
Peak Hours (18-22h),TimesNet,2463,304,0.8700771416971174,0.7807000875253363,0.8099500179244891,0.7072368421052632
Off-Peak Hours,Informer,7564,998,0.874537281861449,0.776537781550016,0.8026492366256898,0.6983967935871743
Off-Peak Hours,Random Forest,7564,998,0.8744050766790058,0.7781531923445981,0.7995597865069936,0.6923847695390781
Off-Peak Hours,XGBoost,7564,998,0.8774457958751983,0.7621801786414507,0.7548087643067808,0.7024048096192385
Off-Peak Hours,GRU,7564,998,0.8782390269698572,0.774752104921327,0.7836332525820405,0.6933867735470942
Off-Peak Hours,TimesNet,7564,998,0.8704389212057113,0.7755667597694283,0.80551355957676,0.6803607214428857
Daytime (06-17h),Informer,5061,641,0.8735427781070935,0.7790302447172746,0.8055680211259487,0.7004680187207488
Daytime (06-17h),Random Forest,5061,641,0.8747283145623395,0.7838546632299935,0.8068448149637081,0.6942277691107644
Daytime (06-17h),XGBoost,5061,641,0.8767042086544161,0.7636518660117635,0.7570670044846907,0.7020280811232449
Daytime (06-17h),GRU,5061,641,0.8788776921557004,0.7794908361873684,0.7891030535730429,0.6973478939157566
Daytime (06-17h),TimesNet,5061,641,0.8711717051966015,0.7806471696291015,0.8106571728806724,0.6848673946957878
Nighttime (18-05h),Informer,4966,661,0.8747482883608538,0.7744167353703725,0.7994844328263989,0.7049924357034796
Nighttime (18-05h),Random Forest,4966,661,0.8729359645590012,0.773385488051855,0.792209975500322,0.7004538577912254
Nighttime (18-05h),XGBoost,4966,661,0.8749496576721708,0.7608974125496109,0.754785072147019,0.7170953101361573
Nighttime (18-05h),GRU,4966,661,0.8749496576721708,0.7709821634304359,0.7821141657534288,0.7004538577912254
Nighttime (18-05h),TimesNet,4966,661,0.8695126862666129,0.7729285613894975,0.8020209244417881,0.6883509833585476
