model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_high_risk_recall,training_time
CNN-LSTM,10,0.130340132708781,0.08953897346698379,0.9364,0.96011611763221,0.7854337084931583,0.31054131054131057,18.420138597488403
CNN-LSTM,20,0.08905426090223942,0.12063786865592985,0.9626,0.9587277546383945,0.8082401384417602,0.42450142450142453,34.4033043384552
CNN-LSTM,30,0.050280318816444534,0.17499843302002122,0.9804,0.9580966805502966,0.794999916815876,0.37037037037037035,50.86509680747986
CNN-LSTM,40,0.027775887437862343,0.20525302724099365,0.9918,0.9564558879212419,0.8078322744918925,0.46153846153846156,68.63555455207825
CNN-LSTM,50,0.0198599166826502,0.24003777250518918,0.993,0.9569607471917203,0.8084622312719868,0.452991452991453,89.388596534729
GRU,10,0.13704249341043515,0.08226485206638817,0.9332,0.9597374731793512,0.7807868385739636,0.2934472934472934,28.074271202087402
GRU,20,0.07038980842136827,0.12388473107726737,0.9712,0.9598636879969709,0.8080000599147522,0.41025641025641024,54.336347818374634
GRU,30,0.013460512375453834,0.2208463103523612,0.9962,0.9582228953679162,0.8127186430186195,0.45584045584045585,83.96936392784119
GRU,40,0.005582391485339977,0.29022326214823774,0.9984,0.9572131768269595,0.79754198875454,0.39316239316239315,107.91485047340393
GRU,50,0.0017350503761066327,0.30676773148742154,0.9998,0.9584753250031554,0.8110515617731217,0.45014245014245013,131.90596652030945
LSTM,10,0.13731990479162848,0.07728490864908887,0.9338,0.960747191720308,0.7931188533873552,0.3333333333333333,25.833680629730225
LSTM,20,0.07796968759281905,0.10894561037194876,0.9674,0.9582228953679162,0.8179768870511382,0.47863247863247865,53.025651693344116
LSTM,30,0.023264564112351643,0.18775099013616156,0.9934,0.9562034582860027,0.8012548404537632,0.4188034188034188,79.25660967826843
LSTM,40,0.0068904461475738,0.2334248284847947,0.9976,0.9577180360974379,0.8090764764818045,0.4415954415954416,104.30796790122986
LSTM,50,0.006556361353739842,0.25852998161549273,0.9978,0.9572131768269595,0.8106500096389663,0.4672364672364672,130.0856614112854
Autoformer,10,0.1436579744022757,0.08384100993444563,0.9302655754133957,0.9615044806260254,0.7865889734474125,0.29914529914529914,20.41634750366211
Autoformer,20,0.14239581592892556,0.08833543478295192,0.9305717944435165,0.958601539820775,0.7329869477729795,0.15669515669515668,39.11536455154419
Autoformer,30,0.12524005019879972,0.09142870513180783,0.9383664606647737,0.9589801842736337,0.8112873600041487,0.43304843304843305,57.571799993515015
Autoformer,40,0.1168091876329528,0.10130937853423687,0.9446300317354268,0.9548150952921873,0.7897423891159829,0.3817663817663818,76.37054371833801
Autoformer,50,0.10254844141496952,0.12441893527629412,0.9506430599632537,0.9559510286507636,0.7823558991777736,0.33048433048433046,94.64529585838318
Informer,10,0.14590111833863653,0.07546076069703185,0.9294304326039753,0.9612520509907864,0.8189449819194401,0.4472934472934473,21.298245429992676
Informer,20,0.12830730692447342,0.08346368133565442,0.9379767273537108,0.9584753250031554,0.80622548798542,0.42165242165242167,43.89687371253967
Informer,30,0.10451297659243784,0.10161754620970802,0.9527865931740994,0.9577180360974379,0.8079273884873839,0.4415954415954416,67.64135217666626
Informer,40,0.0852900365118951,0.12413268719786794,0.9643394020377485,0.9594850435441121,0.8094444035777136,0.4301994301994302,91.04803729057312
