datetime,year,month,day,hour,weekday,temperature,humidity,rainfall,wind_speed,weather_state,electricity_demand,renewable_generation,transformer_load,risk_score,risk_level,district,upazila,area_type,substation_id,feeder_id,transformer_age,transformer_capacity,outage_history,maintenance_due,population_density,industrial_load_ratio
2026-04-13 00:00:00,2026,4,13,0,0,24.62,81.61,0.0,4.78,Cloudy,163.22,176.75,62.78,21.35,Low,Habiganj,Bahubal,Rural,SS_033,FDR_20,11,200,3,No,1966,0.19
2026-04-13 02:00:00,2026,4,13,2,0,23.38,82.84,0.0,4.92,Cloudy,154.67,169.55,61.47,15.39,Low,Sunamganj,Chhatak,Rural,SS_007,FDR_12,7,300,6,No,588,0.22
2026-04-13 04:00:00,2026,4,13,4,0,22.85,86.41,0.0,4.82,Cloudy,153.55,166.34,62.97,28.51,Low,Habiganj,Chunarughat,Rural,SS_015,FDR_04,14,350,1,Yes,1801,0.25
2026-04-13 06:00:00,2026,4,13,6,0,23.05,87.09,0.0,5.03,Cloudy,160.27,170.72,65.2,29.59,Low,Sylhet,Golapganj,Rural,SS_045,FDR_18,13,250,10,No,614,0.07
2026-04-13 08:00:00,2026,4,13,8,0,24.15,86.65,0.0,4.79,Cloudy,177.79,183.05,72.22,48.2,Medium,Sylhet,Bishwanath,Rural,SS_016,FDR_18,13,400,2,Yes,1697,0.13
2026-04-13 10:00:00,2026,4,13,10,0,26.25,84.89,0.0,5.34,Cloudy,191.51,198.19,73.03,48.08,Medium,Sylhet,Kanaighat,Rural,SS_025,FDR_20,7,350,6,No,1633,0.26
2026-04-13 12:00:00,2026,4,13,12,0,28.04,83.3,0.0,5.44,Cloudy,191.76,202.6,73.97,50.87,Medium,Sunamganj,Sullah,Rural,SS_007,FDR_10,10,400,8,No,813,0.11
2026-04-13 14:00:00,2026,4,13,14,0,29.57,81.66,0.0,5.75,Cloudy,185.79,200.5,70.97,52.26,Medium,Sunamganj,Derai,Rural,SS_037,FDR_03,6,200,3,No,641,0.29
2026-04-13 16:00:00,2026,4,13,16,0,30.51,77.24,0.0,5.72,Cloudy,180.59,197.48,72.59,52.04,Medium,Moulvibazar,Rajnagar,Rural,SS_043,FDR_12,14,350,6,No,1424,0.04
2026-04-13 18:00:00,2026,4,13,18,0,30.17,74.82,0.0,5.63,Cloudy,188.56,206.02,70.45,51.78,Medium,Sunamganj,Chhatak,Rural,SS_018,FDR_16,21,250,3,Yes,1981,0.28
2026-04-13 20:00:00,2026,4,13,20,0,29.1,74.21,0.0,5.76,Cloudy,207.78,221.87,78.06,58.52,Medium,Habiganj,Bahubal,Rural,SS_047,FDR_11,6,200,6,Yes,889,0.16
2026-04-13 22:00:00,2026,4,13,22,0,27.1,74.38,0.0,5.53,Cloudy,207.32,228.92,74.46,45.11,Medium,Habiganj,Bahubal,Rural,SS_027,FDR_16,12,350,2,Yes,1321,0.27
2026-04-14 00:00:00,2026,4,14,0,1,26.59,75.14,0.0,5.18,Sunny,186.76,211.45,73.06,32.8,Medium,Sylhet,Bishwanath,Rural,SS_014,FDR_02,11,400,4,No,624,0.22
2026-04-14 02:00:00,2026,4,14,2,1,25.42,77.55,0.0,4.64,Sunny,171.12,194.52,63.14,10.5,Low,Habiganj,Chunarughat,Rural,SS_037,FDR_08,17,400,1,No,1768,0.02
2026-04-14 04:00:00,2026,4,14,4,1,25.3,79.38,0.0,4.05,Sunny,161.07,179.8,62.17,7.67,Low,Sunamganj,Jamalganj,Rural,SS_001,FDR_15,15,400,1,No,704,0.02
2026-04-14 06:00:00,2026,4,14,6,1,25.72,79.54,0.0,4.22,Sunny,164.75,178.37,63.65,27.16,Low,Sunamganj,Sunamganj Sadar,Urban,SS_001,FDR_18,25,300,8,Yes,6697,0.59
2026-04-14 08:00:00,2026,4,14,8,1,27.0,78.25,0.0,3.52,Sunny,179.22,187.73,72.37,41.01,Medium,Sunamganj,Sullah,Rural,SS_004,FDR_03,20,350,4,No,590,0.0
